,pair,side,entry_time,exit_time,holding_period,entry_z,exit_z,entry_spread,exit_spread,trade_return
64,IYM & GDX,short,2023-03-02,2023-03-13,8,2.15371567608043,-0.2104177655332998,0.20022594194592802,0.10715885906543487,0.09567136804945564
65,IYM & GDX,long,2023-05-04,2023-06-07,24,-2.3714255795091583,-0.37630009534195713,0.011374523919379875,0.08164017459732253,0.07076722404233404
66,IYM & GDX,short,2024-02-15,2024-04-11,39,2.320476830653733,0.4276124019538513,0.20219048339925738,0.16754522050575638,0.034293810790675616
67,IYM & GDX,long,2024-08-12,2024-09-27,34,-2.0729323265265553,-0.4028770612307144,0.07709855187532888,0.12887697285466881,0.05176912578994397
68,RWR & VNQ,long,2019-12-16,2020-09-04,183,-2.075336864488293,-0.38003698436516603,0.03625869538481741,-0.05801105710053367,-0.09214347595510897
69,RWR & VNQ,short,2020-11-10,2020-12-21,29,2.2543782191002353,0.08235185153425226,-0.03939318854792795,-0.06246009993487256,0.02304098583328673
70,RWR & VNQ,short,2021-02-23,2021-04-05,29,2.1553473166270662,0.41768044209061106,-0.026487334177871524,-0.03978145002800826,0.01309230592054944
71,RWR & VNQ,long,2021-09-17,2021-09-28,8,-2.113012506851266,0.1871035709387451,-0.04686682082979132,-0.03636321681605281,0.010507189315827059
72,RWR & VNQ,short,2021-10-07,2021-12-20,52,2.0433722361258826,0.07062550842897869,-0.02911285718550438,-0.02958954914320433,0.00029483986088463254
73,RWR & VNQ,short,2022-01-05,2022-05-02,81,2.0612032821324155,0.45307971812677855,-0.004926647037405196,-0.0001827043412703233,-0.004954716273946391
74,RWR & VNQ,long,2022-05-24,2022-06-16,17,-2.1598724683813417,-0.47426950531004813,-0.02421965118493663,-0.010272426266900503,0.01394703217260762
75,RWR & VNQ,long,2022-06-21,2022-09-23,67,-2.097286027790828,-0.047032894048399644,-0.028853094465286055,-0.016002569717154635,0.012639360754117535
76,RWR & VNQ,short,2023-02-24,2023-03-20,17,2.1190004774928504,0.019430438636733587,0.008418876502454431,-0.00736373299980464,0.015855434147804992
77,RWR & VNQ,short,2023-05-02,2023-06-22,36,2.13752841473133,0.4985158407004065,0.012233537361694857,0.008608462630248503,0.003529953947218667
78,RWR & VNQ,short,2023-10-03,2023-10-31,21,2.0025297249687415,0.32313849086058166,0.03638401474733577,0.024907596561313916,0.011506110784261114
79,RWR & VNQ,long,2023-11-29,2023-12-15,13,-2.0687353342727275,-0.4956023355458658,0.008291141045175365,0.018828322557272514,0.01057837792234384
80,RWR & VNQ,long,2023-12-18,2024-01-09,15,-2.521754257832297,-0.3667330030557242,0.0029882606347078067,0.019143358196514804,0.016202028956711745
